name	x	y	z	coordinate_system	group	material	SurfaceArea	Manufacturer	ManufacturersModelName	type
sEMG26	-4.00	8.00	n/a	grid1	Grid1	gold	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
sEMG27	0.00	8.00	n/a	grid1	Grid1	gold	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
sEMG28	4.00	8.00	n/a	grid1	Grid1	gold	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
sEMG29	8.00	8.00	n/a	grid1	Grid1	gold	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
sEMG30	12.00	8.00	n/a	grid1	Grid1	gold	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
sEMG31	16.00	8.00	n/a	grid1	Grid1	gold	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
sEMG32	20.00	8.00	n/a	grid1	Grid1	gold	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
sEMG33	24.00	8.00	n/a	grid1	Grid1	gold	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
sEMG34	28.00	8.00	n/a	grid1	Grid1	gold	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
sEMG35	32.00	8.00	n/a	grid1	Grid1	gold	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
sEMG36	36.00	8.00	n/a	grid1	Grid1	gold	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
sEMG37	40.00	8.00	n/a	grid1	Grid1	gold	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
sEMG38	44.00	8.00	n/a	grid1	Grid1	gold	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
sEMG39	44.00	12.00	n/a	grid1	Grid1	gold	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
sEMG40	40.00	12.00	n/a	grid1	Grid1	gold	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
sEMG41	36.00	12.00	n/a	grid1	Grid1	gold	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
sEMG42	32.00	12.00	n/a	grid1	Grid1	gold	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
sEMG43	28.00	12.00	n/a	grid1	Grid1	gold	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
sEMG44	24.00	12.00	n/a	grid1	Grid1	gold	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
sEMG45	20.00	12.00	n/a	grid1	Grid1	gold	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
sEMG46	16.00	12.00	n/a	grid1	Grid1	gold	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
sEMG47	12.00	12.00	n/a	grid1	Grid1	gold	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
sEMG48	8.00	12.00	n/a	grid1	Grid1	gold	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
sEMG49	4.00	12.00	n/a	grid1	Grid1	gold	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
sEMG50	0.00	12.00	n/a	grid1	Grid1	gold	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
sEMG51	-4.00	12.00	n/a	grid1	Grid1	gold	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
sEMG52	-4.00	16.00	n/a	grid1	Grid1	gold	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
sEMG53	0.00	16.00	n/a	grid1	Grid1	gold	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
sEMG54	4.00	16.00	n/a	grid1	Grid1	gold	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
sEMG55	8.00	16.00	n/a	grid1	Grid1	gold	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
sEMG56	12.00	16.00	n/a	grid1	Grid1	gold	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
sEMG57	16.00	16.00	n/a	grid1	Grid1	gold	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
sEMG58	20.00	16.00	n/a	grid1	Grid1	gold	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
sEMG59	24.00	16.00	n/a	grid1	Grid1	gold	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
sEMG60	28.00	16.00	n/a	grid1	Grid1	gold	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
sEMG61	32.00	16.00	n/a	grid1	Grid1	gold	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
sEMG62	36.00	16.00	n/a	grid1	Grid1	gold	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
sEMG63	40.00	16.00	n/a	grid1	Grid1	gold	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
sEMG64	44.00	16.00	n/a	grid1	Grid1	gold	n/a	OTBioeletrttonica	GR04MM1305	HDsEMG
iEMG01	0.00	0.00	n/a	grid2	Grid2	platinum	0.0056	Custom	Custom	thin-film HDiEMG
iEMG02	0.50	0.00	n/a	grid2	Grid2	platinum	0.0056	Custom	Custom	thin-film HDiEMG
iEMG03	1.00	0.00	n/a	grid2	Grid2	platinum	0.0056	Custom	Custom	thin-film HDiEMG
iEMG04	1.50	0.00	n/a	grid2	Grid2	platinum	0.0056	Custom	Custom	thin-film HDiEMG
iEMG05	2.00	0.00	n/a	grid2	Grid2	platinum	0.0056	Custom	Custom	thin-film HDiEMG
iEMG06	2.50	0.00	n/a	grid2	Grid2	platinum	0.0056	Custom	Custom	thin-film HDiEMG
iEMG07	3.00	0.00	n/a	grid2	Grid2	platinum	0.0056	Custom	Custom	thin-film HDiEMG
iEMG08	3.50	0.00	n/a	grid2	Grid2	platinum	0.0056	Custom	Custom	thin-film HDiEMG
iEMG09	4.00	0.00	n/a	grid2	Grid2	platinum	0.0056	Custom	Custom	thin-film HDiEMG
iEMG10	4.50	0.00	n/a	grid2	Grid2	platinum	0.0056	Custom	Custom	thin-film HDiEMG
iEMG11	5.00	0.00	n/a	grid2	Grid2	platinum	0.0056	Custom	Custom	thin-film HDiEMG
iEMG12	5.50	0.00	n/a	grid2	Grid2	platinum	0.0056	Custom	Custom	thin-film HDiEMG
iEMG13	6.00	0.00	n/a	grid2	Grid2	platinum	0.0056	Custom	Custom	thin-film HDiEMG
iEMG14	6.50	0.00	n/a	grid2	Grid2	platinum	0.0056	Custom	Custom	thin-film HDiEMG
iEMG15	7.00	0.00	n/a	grid2	Grid2	platinum	0.0056	Custom	Custom	thin-film HDiEMG
iEMG16	7.50	0.00	n/a	grid2	Grid2	platinum	0.0056	Custom	Custom	thin-film HDiEMG
iEMG17	8.00	0.00	n/a	grid2	Grid2	platinum	0.0056	Custom	Custom	thin-film HDiEMG
iEMG18	8.50	0.00	n/a	grid2	Grid2	platinum	0.0056	Custom	Custom	thin-film HDiEMG
iEMG19	9.00	0.00	n/a	grid2	Grid2	platinum	0.0056	Custom	Custom	thin-film HDiEMG
iEMG20	9.50	0.00	n/a	grid2	Grid2	platinum	0.0056	Custom	Custom	thin-film HDiEMG
iEMG21	10.00	0.00	n/a	grid2	Grid2	platinum	0.0056	Custom	Custom	thin-film HDiEMG
iEMG22	10.50	0.00	n/a	grid2	Grid2	platinum	0.0056	Custom	Custom	thin-film HDiEMG
iEMG23	11.00	0.00	n/a	grid2	Grid2	platinum	0.0056	Custom	Custom	thin-film HDiEMG
iEMG24	11.50	0.00	n/a	grid2	Grid2	platinum	0.0056	Custom	Custom	thin-film HDiEMG
iEMG25	12.00	0.00	n/a	grid2	Grid2	platinum	0.0056	Custom	Custom	thin-film HDiEMG
iEMG26	12.50	0.00	n/a	grid2	Grid2	platinum	0.0056	Custom	Custom	thin-film HDiEMG
iEMG27	13.00	0.00	n/a	grid2	Grid2	platinum	0.0056	Custom	Custom	thin-film HDiEMG
iEMG28	13.50	0.00	n/a	grid2	Grid2	platinum	0.0056	Custom	Custom	thin-film HDiEMG
iEMG29	14.00	0.00	n/a	grid2	Grid2	platinum	0.0056	Custom	Custom	thin-film HDiEMG
iEMG30	14.50	0.00	n/a	grid2	Grid2	platinum	0.0056	Custom	Custom	thin-film HDiEMG
iEMG31	15.00	0.00	n/a	grid2	Grid2	platinum	0.0056	Custom	Custom	thin-film HDiEMG
iEMG32	15.50	0.00	n/a	grid2	Grid2	platinum	0.0056	Custom	Custom	thin-film HDiEMG
iEMG33	16.00	0.00	n/a	grid2	Grid2	platinum	0.0056	Custom	Custom	thin-film HDiEMG
iEMG34	16.50	0.00	n/a	grid2	Grid2	platinum	0.0056	Custom	Custom	thin-film HDiEMG
iEMG35	17.00	0.00	n/a	grid2	Grid2	platinum	0.0056	Custom	Custom	thin-film HDiEMG
iEMG36	17.50	0.00	n/a	grid2	Grid2	platinum	0.0056	Custom	Custom	thin-film HDiEMG
iEMG37	18.00	0.00	n/a	grid2	Grid2	platinum	0.0056	Custom	Custom	thin-film HDiEMG
iEMG38	18.50	0.00	n/a	grid2	Grid2	platinum	0.0056	Custom	Custom	thin-film HDiEMG
iEMG39	19.00	0.00	n/a	grid2	Grid2	platinum	0.0056	Custom	Custom	thin-film HDiEMG
iEMG40	19.50	0.00	n/a	grid2	Grid2	platinum	0.0056	Custom	Custom	thin-film HDiEMG
R1	100.00	0.00	n/a	lowerleg	Reference	textile	n/a	OTBioeletrttonica	WS2.1	ring
R2	100.00	0.00	n/a	lowerleg	Ground	textile	n/a	OTBioeletrttonica	WS2.1	ring
