name	type	units	low_cutoff	high_cutoff	reference	group	status
46	ECOG	µV	300	0.5	intracranial	3	good
47	ECOG	µV	300	0.5	intracranial	3	good
48	ECOG	µV	300	0.5	intracranial	3	good
49	ECOG	µV	300	0.5	intracranial	3	good
50	ECOG	µV	300	0.5	intracranial	3	good
51	ECOG	µV	300	0.5	intracranial	3	good
52	ECOG	µV	300	0.5	intracranial	3	bad
53	ECOG	µV	300	0.5	intracranial	3	good
54	ECOG	µV	300	0.5	intracranial	3	good
55	ECOG	µV	300	0.5	intracranial	3	good
56	ECOG	µV	300	0.5	intracranial	3	good
57	ECOG	µV	300	0.5	intracranial	3	good
58	ECOG	µV	300	0.5	intracranial	3	good
59	ECOG	µV	300	0.5	intracranial	3	good
60	ECOG	µV	300	0.5	intracranial	3	good
61	ECOG	µV	300	0.5	intracranial	3	good
62	ECOG	µV	300	0.5	intracranial	3	good
63	ECOG	µV	300	0.5	intracranial	3	good
64	ECOG	µV	300	0.5	intracranial	3	good
65	ECOG	µV	300	0.5	intracranial	4	good
66	ECOG	µV	300	0.5	intracranial	4	good
67	ECOG	µV	300	0.5	intracranial	4	good
68	ECOG	µV	300	0.5	intracranial	4	good
69	ECOG	µV	300	0.5	intracranial	4	good
70	ECOG	µV	300	0.5	intracranial	4	good
71	ECOG	µV	300	0.5	intracranial	4	good
72	ECOG	µV	300	0.5	intracranial	4	good
73	ECOG	µV	300	0.5	intracranial	4	good
74	ECOG	µV	300	0.5	intracranial	4	good
75	ECOG	µV	300	0.5	intracranial	4	good
76	ECOG	µV	300	0.5	intracranial	4	good
77	ECOG	µV	300	0.5	intracranial	4	bad
78	ECOG	µV	300	0.5	intracranial	4	good
79	ECOG	µV	300	0.5	intracranial	4	good
80	ECOG	µV	300	0.5	intracranial	4	good
81	ECOG	µV	300	0.5	intracranial	4	bad
82	ECOG	µV	300	0.5	intracranial	4	good
83	ECOG	µV	300	0.5	intracranial	4	good
84	ECOG	µV	300	0.5	intracranial	4	good
85	ECOG	µV	300	0.5	intracranial	4	good
86	ECOG	µV	300	0.5	intracranial	4	good
87	ECOG	µV	300	0.5	intracranial	4	good
88	ECOG	µV	300	0.5	intracranial	4	good
89	ECOG	µV	300	0.5	intracranial	4	good
90	ECOG	µV	300	0.5	intracranial	4	good
91	ECOG	µV	300	0.5	intracranial	4	good
92	ECOG	µV	300	0.5	intracranial	5	good
93	ECOG	µV	300	0.5	intracranial	5	good
94	ECOG	µV	300	0.5	intracranial	5	good
95	ECOG	µV	300	0.5	intracranial	5	bad
96	ECOG	µV	300	0.5	intracranial	5	good
97	ECOG	µV	300	0.5	intracranial	5	good
98	ECOG	µV	300	0.5	intracranial	5	good
99	ECOG	µV	300	0.5	intracranial	5	good
100	ECOG	µV	300	0.5	intracranial	5	good
101	ECOG	µV	300	0.5	intracranial	5	good
102	ECOG	µV	300	0.5	intracranial	5	good
103	ECOG	µV	300	0.5	intracranial	5	good
104	ECOG	µV	300	0.5	intracranial	5	good
105	ECOG	µV	300	0.5	intracranial	5	good
106	ECOG	µV	300	0.5	intracranial	5	good
107	ECOG	µV	300	0.5	intracranial	5	good
108	ECOG	µV	300	0.5	intracranial	5	good
109	ECOG	µV	300	0.5	intracranial	5	good
110	ECOG	µV	300	0.5	intracranial	5	good
111	ECOG	µV	300	0.5	intracranial	5	good
112	ECOG	µV	300	0.5	intracranial	6	good
113	ECOG	µV	300	0.5	intracranial	6	good
114	ECOG	µV	300	0.5	intracranial	6	good
115	ECOG	µV	300	0.5	intracranial	6	good
116	ECOG	µV	300	0.5	intracranial	6	bad
117	ECOG	µV	300	0.5	intracranial	6	good
118	ECOG	µV	300	0.5	intracranial	7	bad
