name	type	units	sampling_frequency	tracked_point	component	orientation_component
rightThigh_MAGN_z	MAGN	T	199.882491186839	rightThigh	z	z
rightShank_MAGN_x	MAGN	T	199.882491186839	rightShank	x	x
rightShank_MAGN_y	MAGN	T	199.882491186839	rightShank	y	y
rightShank_MAGN_z	MAGN	T	199.882491186839	rightShank	z	z
rightFoot_MAGN_x	MAGN	T	199.882491186839	rightFoot	x	x
rightFoot_MAGN_y	MAGN	T	199.882491186839	rightFoot	y	y
rightFoot_MAGN_z	MAGN	T	199.882491186839	rightFoot	z	z
leftAnkle_MAGN_x	MAGN	T	199.882491186839	leftAnkle	x	x
leftAnkle_MAGN_y	MAGN	T	199.882491186839	leftAnkle	y	y
leftAnkle_MAGN_z	MAGN	T	199.882491186839	leftAnkle	z	z
rightAnkle_MAGN_x	MAGN	T	199.882491186839	rightAnkle	x	x
rightAnkle_MAGN_y	MAGN	T	199.882491186839	rightAnkle	y	y
rightAnkle_MAGN_z	MAGN	T	199.882491186839	rightAnkle	z	z
pocket_MAGN_x	MAGN	T	199.882491186839	pocket	x	x
pocket_MAGN_y	MAGN	T	199.882491186839	pocket	y	y
pocket_MAGN_z	MAGN	T	199.882491186839	pocket	z	z
