name	type	units	sampling_frequency	tracked_point	component	orientation_component
sternum_GYRO_z	GYRO	rad/s	199.910514541387	sternum	z	z
leftUpperArm_GYRO_x	GYRO	rad/s	199.910514541387	leftUpperArm	x	x
leftUpperArm_GYRO_y	GYRO	rad/s	199.910514541387	leftUpperArm	y	y
leftUpperArm_GYRO_z	GYRO	rad/s	199.910514541387	leftUpperArm	z	z
leftForeArm_GYRO_x	GYRO	rad/s	199.910514541387	leftForeArm	x	x
leftForeArm_GYRO_y	GYRO	rad/s	199.910514541387	leftForeArm	y	y
leftForeArm_GYRO_z	GYRO	rad/s	199.910514541387	leftForeArm	z	z
rightUpperArm_GYRO_x	GYRO	rad/s	199.910514541387	rightUpperArm	x	x
rightUpperArm_GYRO_y	GYRO	rad/s	199.910514541387	rightUpperArm	y	y
rightUpperArm_GYRO_z	GYRO	rad/s	199.910514541387	rightUpperArm	z	z
rightForeArm_GYRO_x	GYRO	rad/s	199.910514541387	rightForeArm	x	x
rightForeArm_GYRO_y	GYRO	rad/s	199.910514541387	rightForeArm	y	y
rightForeArm_GYRO_z	GYRO	rad/s	199.910514541387	rightForeArm	z	z
pelvis_GYRO_x	GYRO	rad/s	199.910514541387	pelvis	x	x
pelvis_GYRO_y	GYRO	rad/s	199.910514541387	pelvis	y	y
pelvis_GYRO_z	GYRO	rad/s	199.910514541387	pelvis	z	z
leftThigh_GYRO_x	GYRO	rad/s	199.910514541387	leftThigh	x	x
leftThigh_GYRO_y	GYRO	rad/s	199.910514541387	leftThigh	y	y
leftThigh_GYRO_z	GYRO	rad/s	199.910514541387	leftThigh	z	z
leftShank_GYRO_x	GYRO	rad/s	199.910514541387	leftShank	x	x
leftShank_GYRO_y	GYRO	rad/s	199.910514541387	leftShank	y	y
leftShank_GYRO_z	GYRO	rad/s	199.910514541387	leftShank	z	z
leftFoot_GYRO_x	GYRO	rad/s	199.910514541387	leftFoot	x	x
leftFoot_GYRO_y	GYRO	rad/s	199.910514541387	leftFoot	y	y
leftFoot_GYRO_z	GYRO	rad/s	199.910514541387	leftFoot	z	z
rightThigh_GYRO_x	GYRO	rad/s	199.910514541387	rightThigh	x	x
rightThigh_GYRO_y	GYRO	rad/s	199.910514541387	rightThigh	y	y
rightThigh_GYRO_z	GYRO	rad/s	199.910514541387	rightThigh	z	z
rightShank_GYRO_x	GYRO	rad/s	199.910514541387	rightShank	x	x
rightShank_GYRO_y	GYRO	rad/s	199.910514541387	rightShank	y	y
rightShank_GYRO_z	GYRO	rad/s	199.910514541387	rightShank	z	z
rightFoot_GYRO_x	GYRO	rad/s	199.910514541387	rightFoot	x	x
rightFoot_GYRO_y	GYRO	rad/s	199.910514541387	rightFoot	y	y
rightFoot_GYRO_z	GYRO	rad/s	199.910514541387	rightFoot	z	z
leftAnkle_GYRO_x	GYRO	rad/s	199.910514541387	leftAnkle	x	x
leftAnkle_GYRO_y	GYRO	rad/s	199.910514541387	leftAnkle	y	y
leftAnkle_GYRO_z	GYRO	rad/s	199.910514541387	leftAnkle	z	z
rightAnkle_GYRO_x	GYRO	rad/s	199.910514541387	rightAnkle	x	x
rightAnkle_GYRO_y	GYRO	rad/s	199.910514541387	rightAnkle	y	y
rightAnkle_GYRO_z	GYRO	rad/s	199.910514541387	rightAnkle	z	z
pocket_GYRO_x	GYRO	rad/s	199.910514541387	pocket	x	x
pocket_GYRO_y	GYRO	rad/s	199.910514541387	pocket	y	y
pocket_GYRO_z	GYRO	rad/s	199.910514541387	pocket	z	z
head_MAGN_x	MAGN	T	199.910514541387	head	x	x
head_MAGN_y	MAGN	T	199.910514541387	head	y	y
head_MAGN_z	MAGN	T	199.910514541387	head	z	z
sternum_MAGN_x	MAGN	T	199.910514541387	sternum	x	x
sternum_MAGN_y	MAGN	T	199.910514541387	sternum	y	y
sternum_MAGN_z	MAGN	T	199.910514541387	sternum	z	z
leftUpperArm_MAGN_x	MAGN	T	199.910514541387	leftUpperArm	x	x
leftUpperArm_MAGN_y	MAGN	T	199.910514541387	leftUpperArm	y	y
leftUpperArm_MAGN_z	MAGN	T	199.910514541387	leftUpperArm	z	z
leftForeArm_MAGN_x	MAGN	T	199.910514541387	leftForeArm	x	x
leftForeArm_MAGN_y	MAGN	T	199.910514541387	leftForeArm	y	y
leftForeArm_MAGN_z	MAGN	T	199.910514541387	leftForeArm	z	z
rightUpperArm_MAGN_x	MAGN	T	199.910514541387	rightUpperArm	x	x
rightUpperArm_MAGN_y	MAGN	T	199.910514541387	rightUpperArm	y	y
rightUpperArm_MAGN_z	MAGN	T	199.910514541387	rightUpperArm	z	z
rightForeArm_MAGN_x	MAGN	T	199.910514541387	rightForeArm	x	x
rightForeArm_MAGN_y	MAGN	T	199.910514541387	rightForeArm	y	y
rightForeArm_MAGN_z	MAGN	T	199.910514541387	rightForeArm	z	z
pelvis_MAGN_x	MAGN	T	199.910514541387	pelvis	x	x
pelvis_MAGN_y	MAGN	T	199.910514541387	pelvis	y	y
pelvis_MAGN_z	MAGN	T	199.910514541387	pelvis	z	z
leftThigh_MAGN_x	MAGN	T	199.910514541387	leftThigh	x	x
leftThigh_MAGN_y	MAGN	T	199.910514541387	leftThigh	y	y
leftThigh_MAGN_z	MAGN	T	199.910514541387	leftThigh	z	z
leftShank_MAGN_x	MAGN	T	199.910514541387	leftShank	x	x
leftShank_MAGN_y	MAGN	T	199.910514541387	leftShank	y	y
leftShank_MAGN_z	MAGN	T	199.910514541387	leftShank	z	z
leftFoot_MAGN_x	MAGN	T	199.910514541387	leftFoot	x	x
leftFoot_MAGN_y	MAGN	T	199.910514541387	leftFoot	y	y
leftFoot_MAGN_z	MAGN	T	199.910514541387	leftFoot	z	z
rightThigh_MAGN_x	MAGN	T	199.910514541387	rightThigh	x	x
rightThigh_MAGN_y	MAGN	T	199.910514541387	rightThigh	y	y
rightThigh_MAGN_z	MAGN	T	199.910514541387	rightThigh	z	z
rightShank_MAGN_x	MAGN	T	199.910514541387	rightShank	x	x
rightShank_MAGN_y	MAGN	T	199.910514541387	rightShank	y	y
rightShank_MAGN_z	MAGN	T	199.910514541387	rightShank	z	z
rightFoot_MAGN_x	MAGN	T	199.910514541387	rightFoot	x	x
rightFoot_MAGN_y	MAGN	T	199.910514541387	rightFoot	y	y
rightFoot_MAGN_z	MAGN	T	199.910514541387	rightFoot	z	z
leftAnkle_MAGN_x	MAGN	T	199.910514541387	leftAnkle	x	x
leftAnkle_MAGN_y	MAGN	T	199.910514541387	leftAnkle	y	y
leftAnkle_MAGN_z	MAGN	T	199.910514541387	leftAnkle	z	z
rightAnkle_MAGN_x	MAGN	T	199.910514541387	rightAnkle	x	x
rightAnkle_MAGN_y	MAGN	T	199.910514541387	rightAnkle	y	y
rightAnkle_MAGN_z	MAGN	T	199.910514541387	rightAnkle	z	z
pocket_MAGN_x	MAGN	T	199.910514541387	pocket	x	x
pocket_MAGN_y	MAGN	T	199.910514541387	pocket	y	y
pocket_MAGN_z	MAGN	T	199.910514541387	pocket	z	z
