name	type	units	low_cutoff	high_cutoff	sampling_frequency	notch	reference	description	status	group
G23	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	parietal-medial	good	1.0
G24	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	parietal-medial	good	1.0
G25	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	premotor-medial	good	1.0
G26	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	premotor-medial	good	1.0
G27	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	premotor-medial	good	1.0
G28	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	motor-medial	good	1.0
G29	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	motor-medial	good	1.0
G30	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	parietal-medial	good	1.0
G31	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	parietal-medial	good	1.0
G32	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	parietal-medial	bad	1.0
G33	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	premotor-medial	good	1.0
G34	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	premotor-medial	good	1.0
G35	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	motor-medial	good	1.0
G36	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	motor-medial	good	1.0
G37	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	motor-medial	good	1.0
G38	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	parietal-inferior	good	1.0
G39	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	parietal-inferior	good	1.0
G40	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	parietal-inferior	good	1.0
G41	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	frontal-inferior	good	1.0
G42	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	frontal-inferior	good	1.0
G43	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	motor-inferior	good	1.0
G44	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	motor-inferior	good	1.0
G45	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	motor-inferior	good	1.0
G46	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-superior	good	1.0
G47	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-superior	good	1.0
G48	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-posterior	good	1.0
TG49	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-superior	good	1.0
TG50	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-superior	good	1.0
TG51	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-superior	good	1.0
TG52	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-superior	good	1.0
TG53	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-superior	good	1.0
TG54	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-superior	good	1.0
TG55	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-superior	good	1.0
TG56	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-posterior	good	1.0
TG57	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-medial	good	1.0
TG58	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-medial	good	1.0
TG59	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-medial	good	1.0
TG60	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-medial	good	1.0
TG61	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-medial	good	1.0
TG62	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-medial	good	1.0
TG63	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-medial	good	1.0
TG64	ECOG	mV	0.01	n/a	1000.0	[60, 120, 180]	CAR	temporal-posterior	bad	1.0
