name	type	units	reference	target_muscle	group	signal_electrode
EMG96	EMG	V	R2	forearm extensors	Grid2	E32
EMG97	EMG	V	R2	forearm extensors	Grid2	E33
EMG98	EMG	V	R2	forearm extensors	Grid2	E34
EMG99	EMG	V	R2	forearm extensors	Grid2	E35
EMG100	EMG	V	R2	forearm extensors	Grid2	E36
EMG101	EMG	V	R2	forearm extensors	Grid2	E37
EMG102	EMG	V	R2	forearm extensors	Grid2	E38
EMG103	EMG	V	R2	forearm extensors	Grid2	E39
EMG104	EMG	V	R2	forearm extensors	Grid2	E40
EMG105	EMG	V	R2	forearm extensors	Grid2	E41
EMG106	EMG	V	R2	forearm extensors	Grid2	E42
EMG107	EMG	V	R2	forearm extensors	Grid2	E43
EMG108	EMG	V	R2	forearm extensors	Grid2	E44
EMG109	EMG	V	R2	forearm extensors	Grid2	E45
EMG110	EMG	V	R2	forearm extensors	Grid2	E46
EMG111	EMG	V	R2	forearm extensors	Grid2	E47
EMG112	EMG	V	R2	forearm extensors	Grid2	E48
EMG113	EMG	V	R2	forearm extensors	Grid2	E49
EMG114	EMG	V	R2	forearm extensors	Grid2	E50
EMG115	EMG	V	R2	forearm extensors	Grid2	E51
EMG116	EMG	V	R2	forearm extensors	Grid2	E52
EMG117	EMG	V	R2	forearm extensors	Grid2	E53
EMG118	EMG	V	R2	forearm extensors	Grid2	E54
EMG119	EMG	V	R2	forearm extensors	Grid2	E55
EMG120	EMG	V	R2	forearm extensors	Grid2	E56
EMG121	EMG	V	R2	forearm extensors	Grid2	E57
EMG122	EMG	V	R2	forearm extensors	Grid2	E58
EMG123	EMG	V	R2	forearm extensors	Grid2	E59
EMG124	EMG	V	R2	forearm extensors	Grid2	E60
EMG125	EMG	V	R2	forearm extensors	Grid2	E61
EMG126	EMG	V	R2	forearm extensors	Grid2	E62
EMG127	EMG	V	R2	forearm extensors	Grid2	E63
EMG128	EMG	V	R2	forearm extensors	Grid2	E64
