name	x	y	z	loc_reference	group
E79	8	8	0	grid2-coordsystem	Grid2
E80	8	0	0	grid2-coordsystem	Grid2
E81	16	0	0	grid2-coordsystem	Grid2
E82	16	8	0	grid2-coordsystem	Grid2
E83	16	16	0	grid2-coordsystem	Grid2
E84	16	24	0	grid2-coordsystem	Grid2
E85	16	32	0	grid2-coordsystem	Grid2
E86	16	40	0	grid2-coordsystem	Grid2
E87	16	48	0	grid2-coordsystem	Grid2
E88	16	56	0	grid2-coordsystem	Grid2
E89	24	56	0	grid2-coordsystem	Grid2
E90	24	48	0	grid2-coordsystem	Grid2
E91	24	40	0	grid2-coordsystem	Grid2
E92	24	32	0	grid2-coordsystem	Grid2
E93	24	24	0	grid2-coordsystem	Grid2
E94	24	16	0	grid2-coordsystem	Grid2
E95	24	8	0	grid2-coordsystem	Grid2
E96	24	0	0	grid2-coordsystem	Grid2
E97	32	0	0	grid2-coordsystem	Grid2
E98	32	8	0	grid2-coordsystem	Grid2
E99	32	16	0	grid2-coordsystem	Grid2
E100	32	24	0	grid2-coordsystem	Grid2
E101	32	32	0	grid2-coordsystem	Grid2
E102	32	40	0	grid2-coordsystem	Grid2
E103	32	48	0	grid2-coordsystem	Grid2
E104	32	56	0	grid2-coordsystem	Grid2
E105	40	56	0	grid2-coordsystem	Grid2
E106	40	48	0	grid2-coordsystem	Grid2
E107	40	40	0	grid2-coordsystem	Grid2
E108	40	32	0	grid2-coordsystem	Grid2
E109	40	24	0	grid2-coordsystem	Grid2
E110	40	16	0	grid2-coordsystem	Grid2
E111	40	8	0	grid2-coordsystem	Grid2
E112	40	0	0	grid2-coordsystem	Grid2
E113	48	0	0	grid2-coordsystem	Grid2
E114	48	8	0	grid2-coordsystem	Grid2
E115	48	16	0	grid2-coordsystem	Grid2
E116	48	24	0	grid2-coordsystem	Grid2
E117	48	32	0	grid2-coordsystem	Grid2
E118	48	40	0	grid2-coordsystem	Grid2
E119	48	48	0	grid2-coordsystem	Grid2
E120	48	56	0	grid2-coordsystem	Grid2
E121	56	56	0	grid2-coordsystem	Grid2
E122	56	48	0	grid2-coordsystem	Grid2
E123	56	40	0	grid2-coordsystem	Grid2
E124	56	32	0	grid2-coordsystem	Grid2
E125	56	24	0	grid2-coordsystem	Grid2
E126	56	16	0	grid2-coordsystem	Grid2
E127	56	8	0	grid2-coordsystem	Grid2
E128	56	0	0	grid2-coordsystem	Grid2
R1	0	100	0	forearm-coordsystem	Grid1
R2	0	100	0	forearm-coordsystem	Grid2
