	onset	duration	trial_type	Unnamed: 1	Rsponse	StimVar	Stimulus	ResponseTime
58	185.0	1.0	incongruent_correct	1	2	incongruent	657	n/a
59	187.5	1.0	incongruent_correct	1	2	incongruent	373	n/a
60	190.0	1.0	incongruent_correct	1	2	incongruent	418	n/a
61	192.5	1.0	incongruent_correct	1	2	incongruent	295	n/a
62	195.0	1.0	congruent_correct	1	1	congruent	436	n/a
63	197.5	1.0	congruent_correct	1	1	congruent	296	n/a
64	200.0	1.0	congruent_correct	1	1	congruent	404	n/a
65	202.5	1.0	incongruent_correct	1	2	incongruent	417	n/a
66	205.0	1.0	incongruent_correct	1	2	incongruent	350	n/a
67	207.5	1.0	incongruent_correct	1	2	incongruent	366	n/a
68	215.0	1.0	incongruent_correct	1	2	incongruent	537	n/a
69	217.5	1.0	incongruent_correct	1	2	incongruent	414	n/a
70	220.0	1.0	congruent_correct	1	1	congruent	394	n/a
71	222.5	1.0	incongruent_correct	1	2	incongruent	423	n/a
72	225.0	1.0	incongruent_correct	1	2	incongruent	499	n/a
73	227.5	1.0	congruent_correct	1	1	congruent	400	n/a
74	230.0	1.0	congruent_correct	1	1	congruent	364	n/a
75	232.5	1.0	congruent_correct	1	1	congruent	305	n/a
76	235.0	1.0	incongruent_correct	1	2	incongruent	351	n/a
77	237.5	1.0	congruent_correct	1	1	congruent	411	n/a
78	240.0	1.0	incongruent_correct	1	2	incongruent	392	n/a
79	242.5	1.0	congruent_correct	1	1	congruent	348	n/a
80	245.0	1.0	congruent_correct	1	1	congruent	450	n/a
81	247.5	1.0	incongruent_correct	1	2	incongruent	366	n/a
82	250.0	1.0	congruent_incorrect	0	1	congruent	386	n/a
83	252.5	1.0	congruent_correct	1	1	congruent	535	n/a
84	255.0	1.0	incongruent_incorrect	0	2	incongruent	404	n/a
85	257.5	1.0	congruent_correct	1	1	congruent	375	n/a
86	270.0	1.0	incongruent_correct	1	2	incongruent	543	n/a
87	272.5	1.0	congruent_correct	1	1	congruent	476	n/a
88	275.0	1.0	congruent_correct	1	1	congruent	409	n/a
89	277.5	1.0	incongruent_correct	1	2	incongruent	390	n/a
90	280.0	1.0	incongruent_correct	1	2	incongruent	346	n/a
91	282.5	1.0	congruent_correct	1	1	congruent	439	n/a
92	290.0	1.0	congruent_incorrect	0	1	congruent	573	n/a
93	292.5	1.0	incongruent_correct	1	2	incongruent	489	n/a
94	295.0	1.0	incongruent_correct	1	2	incongruent	517	n/a
95	297.5	1.0	congruent_correct	1	1	congruent	394	n/a
