	onset	duration	trial_type	incongruent_incorrect	Unnamed: 1	Rsponse	StimVar	Stimulus	ResponseTime
57	177.5	1.0	incongruent_correct	n/a	1	2	incongruent	537	n/a
58	185.0	1.0	incongruent_correct	n/a	1	2	incongruent	560	n/a
59	187.5	1.0	incongruent_correct	n/a	1	2	incongruent	508	n/a
60	190.0	1.0	incongruent_correct	n/a	1	2	incongruent	480	n/a
61	192.5	1.0	incongruent_correct	n/a	1	2	incongruent	445	n/a
62	195.0	1.0	congruent_correct	n/a	1	1	congruent	675	n/a
63	197.5	1.0	congruent_correct	n/a	1	1	congruent	503	n/a
64	200.0	1.0	congruent_correct	n/a	1	1	congruent	484	n/a
65	202.5	1.0	incongruent_correct	n/a	1	2	incongruent	475	n/a
66	205.0	1.0	incongruent_correct	n/a	1	2	incongruent	533	n/a
67	207.5	1.0	incongruent_correct	n/a	1	2	incongruent	474	n/a
68	215.0	1.0	incongruent_correct	n/a	1	2	incongruent	583	n/a
69	217.5	1.0	incongruent_correct	n/a	1	2	incongruent	476	n/a
70	220.0	1.0	congruent_correct	n/a	1	1	congruent	713	n/a
71	222.5	1.0	incongruent_correct	n/a	1	2	incongruent	590	n/a
72	225.0	1.0	incongruent_correct	n/a	1	2	incongruent	442	n/a
73	227.5	1.0	congruent_correct	n/a	1	1	congruent	479	n/a
74	230.0	1.0	congruent_correct	n/a	1	1	congruent	525	n/a
75	232.5	1.0	congruent_correct	n/a	1	1	congruent	465	n/a
76	235.0	1.0	incongruent_correct	n/a	1	2	incongruent	534	n/a
77	237.5	1.0	congruent_correct	n/a	1	1	congruent	466	n/a
78	240.0	1.0	incongruent_correct	n/a	1	2	incongruent	630	n/a
79	242.5	1.0	congruent_correct	n/a	1	1	congruent	443	n/a
80	245.0	1.0	congruent_correct	n/a	1	1	congruent	416	n/a
81	247.5	1.0	incongruent_correct	n/a	1	2	incongruent	525	n/a
82	250.0	1.0	congruent_correct	n/a	1	1	congruent	432	n/a
83	252.5	1.0	congruent_correct	n/a	1	1	congruent	462	n/a
84	255.0	1.0	incongruent_correct	n/a	1	2	incongruent	690	n/a
85	257.5	1.0	congruent_correct	n/a	1	1	congruent	462	n/a
86	270.0	1.0	incongruent_correct	n/a	1	2	incongruent	630	n/a
87	272.5	1.0	congruent_correct	n/a	1	1	congruent	444	n/a
88	275.0	1.0	congruent_correct	n/a	1	1	congruent	439	n/a
89	277.5	1.0	incongruent_correct	n/a	1	2	incongruent	517	n/a
90	280.0	1.0	incongruent_correct	n/a	1	2	incongruent	513	n/a
91	282.5	1.0	congruent_correct	n/a	1	1	congruent	437	n/a
92	290.0	1.0	congruent_correct	n/a	1	1	congruent	546	n/a
93	292.5	1.0	incongruent_correct	n/a	1	2	incongruent	568	n/a
94	295.0	1.0	incongruent_correct	n/a	1	2	incongruent	486	n/a
95	297.5	1.0	congruent_correct	n/a	1	1	congruent	561	n/a
