onset	duration	trial_type	cash_demean	control_pumps_demean	explode_demean	pumps_demean	response_time
110.183	0.772	control_pumps_demean	n/a	5.000	n/a	n/a	0.553
118.514	0.772	control_pumps_demean	n/a	-2.500	n/a	n/a	0.726
121.910	0.772	control_pumps_demean	n/a	-1.500	n/a	n/a	0.410
125.338	0.772	control_pumps_demean	n/a	-0.500	n/a	n/a	0.406
128.081	0.772	control_pumps_demean	n/a	0.500	n/a	n/a	0.407
131.131	0.772	control_pumps_demean	n/a	1.500	n/a	n/a	0.309
132.776	0.772	control_pumps_demean	n/a	2.500	n/a	n/a	0.440
143.323	0.772	pumps_demean	n/a	n/a	n/a	-1.000	0.645
145.360	0.772	pumps_demean	n/a	n/a	n/a	0.000	0.616
147.480	0.772	pumps_demean	n/a	n/a	n/a	1.000	0.603
149.672	0.772	explode_demean	n/a	n/a	1.000	n/a	n/a
155.208	0.772	pumps_demean	n/a	n/a	n/a	-0.500	0.784
157.968	0.772	pumps_demean	n/a	n/a	n/a	0.500	0.520
159.711	0.772	cash_demean	-1.625	n/a	n/a	n/a	0.571
164.260	0.772	control_pumps_demean	n/a	-5.000	n/a	n/a	0.508
166.171	0.772	control_pumps_demean	n/a	-4.000	n/a	n/a	0.413
168.260	0.772	control_pumps_demean	n/a	-3.000	n/a	n/a	0.420
170.768	0.772	control_pumps_demean	n/a	-2.000	n/a	n/a	0.552
172.647	0.772	control_pumps_demean	n/a	-1.000	n/a	n/a	0.537
175.579	0.772	control_pumps_demean	n/a	0.000	n/a	n/a	0.503
178.859	0.772	control_pumps_demean	n/a	1.000	n/a	n/a	0.573
181.789	0.772	control_pumps_demean	n/a	2.000	n/a	n/a	0.587
185.154	0.772	control_pumps_demean	n/a	3.000	n/a	n/a	0.519
188.726	0.772	control_pumps_demean	n/a	4.000	n/a	n/a	0.563
191.815	0.772	control_pumps_demean	n/a	5.000	n/a	n/a	0.508
199.441	0.772	pumps_demean	n/a	n/a	n/a	-2.000	0.679
202.356	0.772	pumps_demean	n/a	n/a	n/a	-1.000	0.404
205.563	0.772	pumps_demean	n/a	n/a	n/a	0.000	0.774
209.095	0.772	pumps_demean	n/a	n/a	n/a	1.000	0.609
210.981	0.772	pumps_demean	n/a	n/a	n/a	2.000	0.644
214.431	0.772	cash_demean	1.375	n/a	n/a	n/a	1.065
220.259	0.772	pumps_demean	n/a	n/a	n/a	-0.500	0.518
223.825	0.772	pumps_demean	n/a	n/a	n/a	0.500	0.528
226.609	0.772	explode_demean	n/a	n/a	0.000	n/a	n/a
231.544	0.772	control_pumps_demean	n/a	-1.500	n/a	n/a	0.521
234.456	0.772	control_pumps_demean	n/a	-0.500	n/a	n/a	0.441
237.733	0.772	control_pumps_demean	n/a	0.500	n/a	n/a	0.371
241.130	0.772	control_pumps_demean	n/a	1.500	n/a	n/a	0.343
249.928	0.772	control_pumps_demean	n/a	-5.500	n/a	n/a	0.650
252.339	0.772	control_pumps_demean	n/a	-4.500	n/a	n/a	0.446
255.049	0.772	control_pumps_demean	n/a	-3.500	n/a	n/a	0.536
257.733	0.772	control_pumps_demean	n/a	-2.500	n/a	n/a	0.605
260.007	0.772	control_pumps_demean	n/a	-1.500	n/a	n/a	0.458
262.134	0.772	control_pumps_demean	n/a	-0.500	n/a	n/a	0.468
265.457	0.772	control_pumps_demean	n/a	0.500	n/a	n/a	0.528
268.830	0.772	control_pumps_demean	n/a	1.500	n/a	n/a	0.579
271.291	0.772	control_pumps_demean	n/a	2.500	n/a	n/a	0.742
273.161	0.772	control_pumps_demean	n/a	3.500	n/a	n/a	0.513
274.828	0.772	control_pumps_demean	n/a	4.500	n/a	n/a	0.549
276.572	0.772	control_pumps_demean	n/a	5.500	n/a	n/a	0.757
284.062	0.772	pumps_demean	n/a	n/a	n/a	-1.500	1.643
287.979	0.772	pumps_demean	n/a	n/a	n/a	-0.500	0.711
290.779	0.772	pumps_demean	n/a	n/a	n/a	0.500	0.454
293.440	0.772	pumps_demean	n/a	n/a	n/a	1.500	0.482
296.884	0.772	cash_demean	0.375	n/a	n/a	n/a	0.661
302.665	0.772	pumps_demean	n/a	n/a	n/a	-1.500	0.576
305.815	0.772	pumps_demean	n/a	n/a	n/a	-0.500	0.562
308.398	0.772	pumps_demean	n/a	n/a	n/a	0.500	0.620
311.998	0.772	pumps_demean	n/a	n/a	n/a	1.500	0.580
314.161	0.772	cash_demean	0.375	n/a	n/a	n/a	0.616
319.273	0.772	pumps_demean	n/a	n/a	n/a	-0.500	0.769
322.116	0.772	pumps_demean	n/a	n/a	n/a	0.500	0.654
323.875	0.772	cash_demean	-1.625	n/a	n/a	n/a	1.046
329.568	0.772	pumps_demean	n/a	n/a	n/a	-0.500	0.586
333.045	0.772	pumps_demean	n/a	n/a	n/a	0.500	0.933
335.214	0.772	cash_demean	-1.625	n/a	n/a	n/a	0.627
344.941	0.772	control_pumps_demean	n/a	0.000	n/a	n/a	0.517
353.889	0.772	pumps_demean	n/a	n/a	n/a	-2.000	0.649
357.474	0.772	pumps_demean	n/a	n/a	n/a	-1.000	0.544
360.617	0.772	pumps_demean	n/a	n/a	n/a	0.000	0.538
363.417	0.772	pumps_demean	n/a	n/a	n/a	1.000	0.705
365.415	0.772	pumps_demean	n/a	n/a	n/a	2.000	0.572
367.611	0.772	cash_demean	1.375	n/a	n/a	n/a	0.511
379.558	0.772	pumps_demean	n/a	n/a	n/a	-1.500	0.804
381.481	0.772	pumps_demean	n/a	n/a	n/a	-0.500	0.769
383.882	0.772	pumps_demean	n/a	n/a	n/a	0.500	0.704
387.368	0.772	pumps_demean	n/a	n/a	n/a	1.500	0.762
389.715	0.772	cash_demean	0.375	n/a	n/a	n/a	1.191
396.101	0.772	control_pumps_demean	n/a	-3.500	n/a	n/a	0.749
399.524	0.772	control_pumps_demean	n/a	-2.500	n/a	n/a	0.425
401.376	0.772	control_pumps_demean	n/a	-1.500	n/a	n/a	2.778
406.704	0.772	control_pumps_demean	n/a	-0.500	n/a	n/a	0.546
410.172	0.772	control_pumps_demean	n/a	0.500	n/a	n/a	0.455
412.319	0.772	control_pumps_demean	n/a	1.500	n/a	n/a	0.588
414.728	0.772	control_pumps_demean	n/a	2.500	n/a	n/a	0.539
416.476	0.772	control_pumps_demean	n/a	3.500	n/a	n/a	0.502
424.555	0.772	pumps_demean	n/a	n/a	n/a	-2.000	0.600
426.895	0.772	pumps_demean	n/a	n/a	n/a	-1.000	0.483
428.813	0.772	pumps_demean	n/a	n/a	n/a	0.000	0.470
432.169	0.772	pumps_demean	n/a	n/a	n/a	1.000	0.570
434.634	0.772	pumps_demean	n/a	n/a	n/a	2.000	0.616
437.341	0.772	cash_demean	1.375	n/a	n/a	n/a	0.550
442.239	0.772	pumps_demean	n/a	n/a	n/a	-1.000	0.595
444.721	0.772	pumps_demean	n/a	n/a	n/a	0.000	0.618
446.915	0.772	pumps_demean	n/a	n/a	n/a	1.000	0.632
449.466	0.772	cash_demean	-0.625	n/a	n/a	n/a	0.609
459.846	0.772	pumps_demean	n/a	n/a	n/a	-2.500	0.702
462.597	0.772	pumps_demean	n/a	n/a	n/a	-1.500	0.518
464.919	0.772	pumps_demean	n/a	n/a	n/a	-0.500	0.532
467.989	0.772	pumps_demean	n/a	n/a	n/a	0.500	0.902
470.290	0.772	pumps_demean	n/a	n/a	n/a	1.500	1.121
472.914	0.772	pumps_demean	n/a	n/a	n/a	2.500	0.697
475.612	0.772	cash_demean	2.375	n/a	n/a	n/a	0.623
482.642	0.772	pumps_demean	n/a	n/a	n/a	-1.000	0.593
484.892	0.772	pumps_demean	n/a	n/a	n/a	0.000	0.591
487.733	0.772	pumps_demean	n/a	n/a	n/a	1.000	0.471
489.818	0.772	explode_demean	n/a	n/a	1.000	n/a	n/a
501.507	0.772	control_pumps_demean	n/a	-4.000	n/a	n/a	0.585
504.456	0.772	control_pumps_demean	n/a	-3.000	n/a	n/a	0.419
506.939	0.772	control_pumps_demean	n/a	-2.000	n/a	n/a	0.616
509.688	0.772	control_pumps_demean	n/a	-1.000	n/a	n/a	0.796
512.200	0.772	control_pumps_demean	n/a	0.000	n/a	n/a	0.843
515.611	0.772	control_pumps_demean	n/a	1.000	n/a	n/a	0.736
519.340	0.772	control_pumps_demean	n/a	2.000	n/a	n/a	0.503
521.375	0.772	control_pumps_demean	n/a	3.000	n/a	n/a	1.405
524.539	0.772	control_pumps_demean	n/a	4.000	n/a	n/a	0.969
539.109	0.772	pumps_demean	n/a	n/a	n/a	-2.000	0.719
542.850	0.772	pumps_demean	n/a	n/a	n/a	-1.000	0.658
545.439	0.772	pumps_demean	n/a	n/a	n/a	0.000	1.229
548.213	0.772	pumps_demean	n/a	n/a	n/a	1.000	0.831
551.080	0.772	pumps_demean	n/a	n/a	n/a	2.000	0.692
553.118	0.772	cash_demean	1.375	n/a	n/a	n/a	0.614
563.839	0.772	pumps_demean	n/a	n/a	n/a	-2.500	0.677
566.199	0.772	pumps_demean	n/a	n/a	n/a	-1.500	0.701
568.585	0.772	pumps_demean	n/a	n/a	n/a	-0.500	0.899
571.077	0.772	pumps_demean	n/a	n/a	n/a	0.500	1.015
574.338	0.772	pumps_demean	n/a	n/a	n/a	1.500	2.138
578.625	0.772	pumps_demean	n/a	n/a	n/a	2.500	0.763
581.541	0.772	cash_demean	2.375	n/a	n/a	n/a	0.687
590.963	0.772	control_pumps_demean	n/a	-3.000	n/a	n/a	0.585
594.425	0.772	control_pumps_demean	n/a	-2.000	n/a	n/a	0.635
597.839	0.772	control_pumps_demean	n/a	-1.000	n/a	n/a	0.613
600.484	0.772	control_pumps_demean	n/a	0.000	n/a	n/a	1.880
604.297	0.772	control_pumps_demean	n/a	1.000	n/a	n/a	0.915
607.642	0.772	control_pumps_demean	n/a	2.000	n/a	n/a	0.499
611.050	0.772	control_pumps_demean	n/a	3.000	n/a	n/a	0.458
